bert,hashtags,tweet_id,media,links,domains,type,language,timestamp,EWUF_user_id,EWUF_follower_count,EWUF_following_count,EWUF_verified,EWUF_account_creation,EUF_user_id,EUF_follower_count,EUF_following_count,EUF_verified,EUF_account_creation,engagee_follows_engager,replay_timestamp,retweet_timestamp,retweet_comment_timestamp,like_timestamp,EUF_num_users,EUF_f01_replay,EUF_f01_retweet,EUF_f01_retweet_comment,EUF_f01_like,EWUF_num_users,EWUF_f01_replay,EWUF_f01_retweet,EWUF_f01_retweet_comment,EWUF_f01_like,engagedRTWC,engagedLIKE,engagedREPLAY,engagedRTW,num_lang_react
101	56898	137	148	42031	15417	69849	11733	14703	12022	168	157	12396	131	164	100	166	146	11447	10272	10729	11373	131	193	10240	168	11617	88667	168	14731	53197	36382	29833	119	119	9309	119265	11287	77884	113	42451	28844	114	80468	109845	42622	30696	100230	11259	143	38850	11517	80645	50183	71020	30118	119	119	1427	33178	80275	22123	30011	79790	89969	76562	31256	22598	146	100	181	42451	140	10129	100	102,,FC495608352DABDA1536C8C7056843BE,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304355,D59AEBEE954752D3361BC63B43E84F60,861,118,False,1370436750,4A343FCBE564C4B81432A202EA4B8B7F,2,216,False,1539440748,False,,,,,9.0,0.0,0.4444444444444444,0.0,0.2222222222222222,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	56898	137	24650	11273	20584	38016	10161	131	47464	23707	19626	10135	17665	10111	14120	131	120	120	188	119	11170	120	161	10929	10884	65111	10129	10731	10115	15417	11090	10160	129	131	10803	11008	21290	11090	120	10193	131	10803	11008	49004	11090	108	24650	11273	12674	12674	14120	131	120	120	188	119	11170	120	157	10410	10457	11373	11490	10157	10738	10237	89696	102,751FC78EFD03D37F0DB87A1F7940A73F,23307AAC03E6BC063994B73A366AFED5,Video,032E8EA45D5C45CC0438BD89ECBA9D70,A4A3D0CAC0A84BDFBACAA6268154AED4,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306493,F55BF1E370757D69C582508234A73ED3,2019,1955,False,1390265097,F4076B15AAC727D2456455D68A3BB142,868,829,False,1538767980,True,,,,,4.0,0.25,0.0,0.0,0.75,21.0,0.047619047619047616,0.0,0.0,0.8095238095238095,0,0,0,0,17
101	61710	102,,901CDD9335FD471F41D95C07D0B5A378,,,,Quote,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304802,1495BAC79DF1D4D03907E1AC79C8C02A,738,743,False,1402613744,E3BEFB70CCB726AC4AF5DE79E2745D77,539,409,False,1436904971,True,,,,1581306767.0,,,,,,7.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0,0,0,0,0
101	56898	137	83852	11274	32250	131	145	21793	11090	131	39728	12014	10114	100	146	11740	100	188	24270	117	100	10105	11897	10940	13028	15329	12789	10155	10840	86074	10189	13028	16938	100	188	21852	10105	57085	119	11399	10105	12479	100	102,,209A109BE8297D1EB3ADC3E03C0947BB,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305001,A67167F1AE3DF2DA360B98AA194E5491,4053,600,False,1192387382,952939D1A6642908B700E0B820621476,3540,3495,False,1237262210,False,,,,,,,,,,2.0,0.5,0.0,0.0,0.0,0,0,0,0,1
101	23056	11259	50183	27277	14703	11274	11259	22570	11403	38850	24093	10731	109544	102549	30340	11733	92438	41275	58573	52898	11447	81012	71020	97126	23240	11565	157	13034	11090	49307	13034	162	32002	11369	144	11490	11447	90800	11447	97126	160	10738	37611	50183	58573	23056	11259	109544	94592	39039	11369	11565	106	106	106	106	106	100	102,,37BA5361DCC9D1B741679FEE9ED0D1A9,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304380,25F9CB94D675F769E4805F6D6013E0BE,4533,382,False,1420669868,7BA4D22B496FDB2E4DC6C993E9FD5051,157,446,False,1512007467,False,,,,1581304435.0,154.0,0.006493506493506494,0.22727272727272724,0.006493506493506494,0.5064935064935064,47.0,0.0425531914893617,0.3404255319148936,0.02127659574468085,0.9574468085106383,0,0,0,0,38
101	137	58768	82856	20324	38161	34146	120	120	34987	12680	117	146	19774	12253	38329	28070	10138	102,,6F82DED0A892925FE9753859EBF836BE,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304684,333C806464A0E4EE661DFC108718677B,554,300,False,1553643811,BA14F7D400981F0583E25749D426FB1E,356,152,False,1548860041,True,1581305413.0,,,,10.0,0.0,0.1,0.1,0.3,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	144	12022	93202	146	53317	38850	11369	98038	11090	46291	11369	71655	68560	146	143	93089	59879	11537	21318	13034	26956	146	160	38025	71020	36351	138	13034	11259	94592	102059	65729	12396	160	38025	55355	50655	109166	11259	31278	72286	66014	89275	146	99843	77261	71033	42424	11517	11274	24093	50972	14703	23240	26956	80426	43161	11127	11090	56586	11517	15417	11403	30118	149	11403	63310	33809	71020	149	30118	11447	52428	46291	10738	65729	53668	100673	52428	147	42031	27128	100397	11447	147	42031	27128	100	102,,58D98362CA8C259DB11121FB6497CA8D,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305200,FB9AA94611ED3471CECB61D643CF6DDB,4295,2562,False,1537633499,79FC947FB2A44C1BCCC3667A994FA60A,398,388,False,1502168681,True,,,,1581305440.0,8.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	10630	12233	119	119	146	21852	13028	10301	52824	12141	119	119	11248	13028	10435	10380	13172	119	119	119	98559	13028	10111	69857	40018	10142	13028	119	119	119	100	82113	102,,2D65410FD11AFCB1C3744D92E3A582AB,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305586,2204518087D7B7C31FB3213B4C6EB441,1138962,12586,True,1169270239,C07545E7C373B7222DB5FC81A062CFC2,20,570,False,1407758353,False,,,,1581320542.0,8537.0,0.013002225606184845,0.10050368982078013,0.007496778727890359,0.4679629846550309,5.0,0.0,0.0,0.0,0.6,0,1,0,0,2
101	29846	12014	10107	11255	29165	10133	10106	30810	10162	10169	64804	11273	117	21484	15171	10107	11408	31117	10111	14880	12219	14120	131	120	120	188	119	11170	120	181	11369	10806	11273	13966	13966	11703	10929	14703	14120	131	120	120	188	119	11170	120	130	26382	11517	10147	13034	11779	11211	31165	102,,47E0D78B42E65B7499EE8CEBC2C57B3C,Photo,77EB4D99AFB08BB5FF92C0B8A4E9A8DF,D0120C5A771484D1765BBA60461666B9,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306664,3F99E0D02E0F969E2AF380CF31B1479F,1798536,569,True,1187743605,3B6A412ABF4943EF6CB31C426019E444,26,48,False,1488746063,False,,,,,1318.0,0.010622154779969648,0.020485584218512896,0.00227617602427921,0.05386949924127466,4.0,0.0,0.0,0.0,0.5,0,0,0,0,1
101	56898	137	10117	11273	20898	13034	38308	10263	131	150	10350	10858	29129	11231	47798	112	188	10529	10105	24659	10114	27242	109898	119	119	119	17121	10124	10105	10635	10142	169	13486	68052	119	17540	10135	10105	41008	10107	117	18694	10107	119	11740	112	188	180	100	102,,C16326D9B6176C027425C5514333EC89,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304010,17603B59733D98153388621BF4B6343D,26601,26713,False,1483713886,6208C2747A74F645704753A94CB9F122,2698,2825,False,1443273187,True,,,,,46.0,0.021739130434782608,0.2826086956521739,0.021739130434782608,0.43478260869565216,4.0,0.0,0.0,0.0,0.25,0,0,0,0,1
101	75151	11259	68560	44376	58521	29639	37174	136	136	136	136	146	100	181	20378	108	58015	16421	10350	102,35FA4B46D94DF801A287485437ADB131,196CDC8EA168624D1B04CB1C1EE712B3,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581303759,D08E885F9B559655CFC70F81CDB387AB,557,400,False,1307567978,BC6F7A6D36E7E6FA2BC3142160EF499A,657,512,False,1312549718,True,,,,1581322956.0,1.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,0,0
101	56898	137	98671	31572	11127	14601	22888	131	138	10808	12811	48237	10211	76484	10269	10426	10111	10151	28446	19924	14355	30386	106788	10336	10142	50410	117	16018	10151	63313	54147	13585	100	102,,D57D448DFE93729710AC5F9A1F70770D,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306128,9FE62A854D56FF788C3FB1733ACF8BA9,887750,117,True,1273275507,3F7566A3B8628314AEF5F4D823ED2A28,573,1176,False,1249854261,False,,,,,522.0,0.011494252873563218,0.10153256704980844,0.0019157088122605359,0.3256704980842912,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	15198	45217	102,,0D2C2B5CCFD040B70475424165A2236A,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305699,81C799A1EE6CC4BFD2A9B568D3376E31,613,258,False,1550808881,1E784A6BDCD4D057A2C10CB58D51FCD6,90,172,False,1569442774,True,,,,,26.0,0.0,0.038461538461538464,0.038461538461538464,0.576923076923077,3.0,0.0,0.0,0.0,0.3333333333333333,0,1,0,0,1
101	56898	137	10796	168	10469	10761	168	156	10107	131	44786	10124	19540	169	30514	119	14120	131	120	120	188	119	11170	120	185	10884	65622	11011	10123	10240	11211	10759	15417	102,,2AD39B34320EAB4290BBF7910942E8D9,Photo,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306187,E481A4A908DFE25F27C9345CDCB45DF7,40531,56,False,1425213127,51EA76BFE5DBDCFB4BD4F23AF68163AB,89,130,False,1394518727,False,,,,1581311053.0,24.0,0.0,0.16666666666666666,0.0,0.75,5.0,0.0,0.0,0.0,0.4,0,0,0,0,0
101	56898	137	29243	27192	13034	79281	131	14924	10188	67076	117	14005	38640	26282	11898	10105	42126	13751	160	106	100	119	119	108	27866	11447	91824	14010	100	14120	131	120	120	188	119	11170	120	138	11373	11703	11273	10477	10686	11565	11127	11565	10112	102,59BF5DD9300DC9BF3B36016CDF2AA1FE,789B1ABAA2670C4D7AF386DE2B189189,Photo,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305048,B480D1EC574FFF62323C7DA270E5038D,758,2844,False,1244681729,1845003927FF152DB27546001AC14102,730,546,False,1306649318,True,,,,,4.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	56898	137	54740	10400	11259	12818	10686	131	100	46412	12888	14796	146	19556	10105	36304	107159	15619	109821	24093	136	136	100	14120	131	120	120	188	119	11170	120	153	10147	11259	11011	11517	62229	10123	10858	119	119	100	110	23240	11565	49339	11369	14703	109	126	119	12187	106	100	119	119	100	32992	77261	50655	11090	36351	100886	86888	100	102,,B5AFFB9CCB62C788C3D53D9F1C02B13D,,EE7B96B4734097686D309EAFC7E82246,DD70774AFE7815A83BBB93C1DD61BB33,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305498,64AF354A3D3AFDEDE025FC233DE50897,54813,934,False,1460328871,CE4D21D09403136722383089928A129C,20,190,False,1560962406,False,,,,,213.0,0.018779342723004692,0.0892018779342723,0.009389671361502346,0.5821596244131456,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	56898	137	42232	11211	45389	131	177	14794	18957	12604	24944	10105	49219	100	83244	11183	15694	38732	10165	80516	75863	10491	10226	78681	100	10106	15127	97952	71122	102,,7304F328FE4D71571C14A69C0BB917BB,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304003,68871727A81D1B2BA2E3A52918190F82,51,107,False,1558633684,EFB1ED1D0335241F735BBECF1A1CE844,44,141,False,1437523081,False,,,,1581304764.0,,,,,,7.0,0.0,0.0,0.0,1.0,0,0,0,0,7
101	101270	25635	10419	10108	10151	13262	100	102,,8D2E18AA95C8AB95DF463F0F776BD688,,,,Quote,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306715,B0BCEED4841DBA7BD793E24874E2B870,65,193,False,1515184344,91A9F05BAF1C12AAAA15CAF1955D24AE,5444,777,False,1340926774,True,,,,1581322540.0,,,,,,7.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0,0,0,0,3
101	100	30744	10206	79601	31505	104539	119	119	119	100	119	14120	131	120	120	188	119	11170	120	11035	10731	13966	11733	11703	11273	13013	10729	14120	131	120	120	188	119	11170	120	192	31686	31691	13034	10240	11166	10107	102,,B8B02958FD1193AFB791A100CDC53A31,Photo	Photo,10289C795EBB9FE8BA62E27715451947,4DD2E9BEAE859E60195665280667D6C7,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305041,4C8C21095B04DADA0E63ADD89F92F277,6749,11,False,1547313946,293F1D85FA4658C1D98313A0152F2F4E,236,588,False,1507294386,False,,,,1581306199.0,36.0,0.0,0.2222222222222222,0.0,0.7222222222222222,3.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0,0,0,0
101	14796	15107	10271	38008	102,,92672610FDB86F85CBB5383A71821FEC,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306171,087C843A41A0ED6F97BD21AF2C5AFD33,380,959,False,1436273276,5C462A24EB1D2100C0902E19DF2516B1,250,339,False,1516236755,True,,,,,11.0,0.0,0.0,0.0,0.3636363636363637,4.0,0.0,0.0,0.0,0.75,0,0,0,0,0
101	153	14590	81921	131	18889	19353	113	50825	171	71189	10284	114	45769	10114	13595	44418	20259	21852	10261	100	187	30918	15198	119	74128	14879	10169	10380	18676	117	77596	24109	15003	10111	26506	35407	10376	10226	11096	10105	17767	24109	13660	10874	119	106	10357	10124	169	22185	128	70832	10107	106	14120	131	120	120	188	119	11170	120	13786	10112	88592	59879	10738	11703	10686	102,,C675A18277C6D8CEC4045886265A09DA,Photo,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304295,487E7C0EB9424D3AEB98FE165919326B,5301,1001,False,1558613090,EC04F94D39D42DE740AD7A1BC40DC8AA,624,1658,False,1516592060,False,,,,1581304688.0,33.0,0.060606060606060615,0.030303030303030307,0.0,0.8484848484848485,4.0,0.0,0.0,0.0,0.5,0,0,0,0,2
101	56898	137	13002	67580	52743	131	10473	10108	15348	106	102,,05796B548080CC8B244114E18C03C1DF,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306109,08AA7A7638F95B19CFC170588DE73F04,292224,709,False,1510493577,CD81006824152EFCA988437F1174A1CB,79,243,False,1516606988,False,,1581307778.0,,1581307778.0,29575.0,0.002975486052409129,0.3399154691462384,0.008960270498732038,0.7140152155536771,3.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0,0,0,1
101	56898	137	64304	12055	11733	67574	11396	98057	67574	10884	131	108	10882	11759	11273	10280	10305	90076	123	73495	22444	10189	10271	10124	10491	119	119	11696	48315	10472	10106	78254	18873	119	119	10377	30668	18428	10106	10735	119	11149	10124	10798	169	20104	100	102,FB5A802DF7D5F25412425F0B91B1D7A7,622CE6FFC9C9F9DBE141B292DB08A3FB,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305546,D524FD041C3996873FDFC936AB43F05B,15772,449,False,1498319980,E1B14B086C36707338EA9346F10668CA,26,122,False,1577716718,False,,,,1581307236.0,6765.0,0.01699926090169994,0.6923872875092387,0.015964523281596456,0.6478935698447894,19.0,0.0,0.15789473684210525,0.05263157894736842,1.0,0,0,0,0,13
101	45896	19259	10165	24376	10142	79093	10485	13194	136	11149	112	187	10472	10488	10908	10160	10957	119	11149	112	187	12558	30593	13358	11130	12277	10833	10393	10151	88840	119	11149	10134	10798	12796	24874	10336	26133	15838	10374	44936	10114	10957	132	10261	110240	10894	10529	14030	12277	10261	12174	10529	119	108	32003	10107	11517	72628	10219	102,0BDEC90E8EEBF43E9B2FB840ACF5F8FA,BF30619A1D3D4E248D7C8C733CD1A4D1,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306231,4539EF6C8D5204282F07B388A007815E,67697,135,False,1438026429,6B9447606C24159AB435A64939CF8B91,8,73,False,1557645281,False,,,,,16.0,0.0,0.0,0.0,0.3125,6.0,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,1
101	56898	137	11649	10206	11274	10112	14703	17964	12396	10165	10567	131	73323	19192	31820	40919	10105	12469	13824	15304	10393	10590	10114	11783	10160	27964	102,,601BFE659796B21B42BDE76441DEDDF0,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305105,F97257960A45E44066354AC6C52DCF47,45506,4078,False,1336741464,14CA735AC9DD02E6B20AB126D800849E,284,350,False,1352839965,False,,,,,1528.0,0.021596858638743454,0.11321989528795813,0.007853403141361258,0.7414921465968587,6.0,0.0,0.0,0.0,0.16666666666666666,0,0,0,0,1
101	56898	137	55755	10686	11211	168	131	177	17367	11408	102,,5E19669B6A9BAD10583EE852C8E0B2E7,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304757,D1DCE58B8CB81A22323A154F54BDA907,67764,1184,False,1405215239,7ED46A78C6636AC937445E830289A664,105,139,False,1547241277,False,,,,,1729.0,0.004626951995373048,0.06766917293233084,0.003470213996529785,0.2787738577212261,4.0,0.0,0.0,0.0,0.25,0,0,0,0,1
101	56898	137	87769	10147	15417	10136	11517	10350	11447	131	31558	13656	50215	10107	14516	24852	63604	34633	21986	100	140	110685	31748	138	92059	10336	100	10108	67747	18332	10341	10345	99946	23486	54489	118	140	110685	31748	138	92059	10336	196	14021	11127	20664	21307	14120	131	100	102,,A55E91ED0FE6F9E884E49BEE5E48B818,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306088,CBAF103F7C4A3AC7727C803F8C788D32,2066,1683,False,1247451918,A07D3A6E550AD0E86D7CBBC525972B0E,6920,1243,False,1305042817,True,,,,,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,1
101	10944	193	100	10435	20648	42658	10112	16135	10114	49151	177	25259	100062	10114	20442	58945	10160	10105	19085	10108	15765	136	10135	12364	10108	30870	19509	177	11424	169	13375	10635	11940	23627	60996	10142	10105	16138	10108	22009	18090	10911	169	11132	10114	11005	72453	33989	110532	102,,1A0BDC39DAFDDF50D2CC43E5DD94112E,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304769,A0E82B54FC1DFD4FA6B1E06D6EE73BC8,4646,769,False,1442881538,08FAEF74BF1785889BDDE1EB81958489,1188,101,False,1576201502,False,,,,1581304837.0,49.0,0.12244897959183673,0.08163265306122447,0.0,0.3469387755102041,,,,,,0,0,0,0,0
101	56898	137	14261	10240	11281	10123	11369	13321	131	12689	10414	38541	10107	11783	16441	23819	10262	33121	10854	10305	193	100	10435	27874	20442	59148	10944	23819	169	10817	20694	108813	102,,705E1A1FED980C23E260659E5C29E1A4,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305479,4493E5A52A620C7BEBA1D9293E75FB76,277,271,False,1437219900,ACA4E9B1D0174736125322233F55D274,352,284,False,1342309401,False,,,,,5.0,0.0,0.2,0.0,0.4,3.0,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,1
101	146	36110	117	169	10428	15998	10129	12174	23040	11355	19626	10435	10950	10160	10105	11561	10635	119	102,,53B52766E49BF8B6D822D0B1B9A2633A,,,,Quote,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581303972,49E57CEC9C4CCA4C1EDF092D64006A15,83515,142,False,1243060204,714D3FF33352B20F59009E08E111320B,34,447,False,1299890823,False,,,,1581356065.0,235.0,0.008510638297872339,0.0042553191489361685,0.0,0.1914893617021277,13.0,0.0,0.0,0.0,0.9230769230769232,0,1,0,0,12
101	20794	77261	38025	14703	10107	106	106	119	20648	42658	10112	62893	12577	10308	117	39740	10111	76456	10454	10531	12839	10123	17544	119	119	13595	112	187	15329	108	9559	12605	10530	28396	16439	12030	10126	10410	12589	10455	16800	14125	10169	108	13073	11447	53452	10188	119	137	38277	11373	20584	38016	10161	119	119	122	157	13034	95825	11090	134	122	159	62146	11259	119	10150	71033	11090	13034	95825	36545	134	122	159	62146	11259	102,2835B872FFFAA0DF02F8A5AA451730A2	FC94B3DB44149867DA05DC063AC4EE00,79E1FB50D15917D2174972B96AC0E352,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306294,F375CB9604D21CC66BCA4CC5B46FC170,568,504,False,1529472919,058C1F3DC3AB5A5F222A700113D782CE,220,691,False,1481625060,False,1581306502.0,1581306502.0,,1581306500.0,2.0,0.0,0.0,0.0,0.5,14.0,0.21428571428571427,0.2857142857142857,0.0,0.8571428571428571,0,0,0,0,7
